,simulation,auc_live,auc_apoptotic,drug_1,drug_2,conc_1,conc_2
43,LNCaP_mut_RNA_00_3_Ulixertinib_0_0_8,58239000.0,1817880.0,Ulixertinib,Ulixertinib,IC50,IC50
44,LNCaP_mut_RNA_00_5_Ipatasertib_0_0_8,57419520.0,1702800.0,Ipatasertib,Ipatasertib,IC90,IC90
45,LNCaP_mut_RNA_00_3_Selumetinib_0_0_6,58736880.0,1734480.0,Selumetinib,Selumetinib,IC50,IC50
46,LNCaP_mut_RNA_00_4_Pictilisib_0_0_1,51473520.0,1534320.0,Pictilisib,Pictilisib,IC70,IC70
47,LNCaP_mut_RNA_00_5_Ulixertinib_0_0_8,61172880.0,1800360.0,Ulixertinib,Ulixertinib,IC90,IC90
48,LNCaP_mut_RNA_00_1_Ulixertinib_0_0_7,59809200.0,1788120.0,Ulixertinib,Ulixertinib,IC10,IC10
49,LNCaP_mut_RNA_00_4_Ipatasertib_0_0_3,60780120.0,1702920.0,Ipatasertib,Ipatasertib,IC70,IC70
50,LNCaP_mut_RNA_00_1_Pictilisib_0_0_7,55480800.0,1636800.0,Pictilisib,Pictilisib,IC10,IC10
51,LNCaP_mut_RNA_00_5_Ipatasertib_0_0_4,56531520.0,1637640.0,Ipatasertib,Ipatasertib,IC90,IC90
52,LNCaP_mut_RNA_00_4_Pictilisib_0_0_7,53544720.0,1617360.0,Pictilisib,Pictilisib,IC70,IC70
53,LNCaP_mut_RNA_00_4_Selumetinib_0_0_9,58105680.0,1795200.0,Selumetinib,Selumetinib,IC70,IC70
54,LNCaP_mut_RNA_00_3_Pictilisib_0_0_3,56952120.0,1659480.0,Pictilisib,Pictilisib,IC50,IC50
55,LNCaP_mut_RNA_00_1_Pictilisib_0_0_3,58775520.0,1765560.0,Pictilisib,Pictilisib,IC10,IC10
56,LNCaP_mut_RNA_00_1_Selumetinib_0_0_1,58743120.0,1806600.0,Selumetinib,Selumetinib,IC10,IC10
57,LNCaP_mut_RNA_00_1_Afatinib_0_0_9,57154560.0,1844040.0,Afatinib,Afatinib,IC10,IC10
58,LNCaP_mut_RNA_00_2_Luminespib_0_0_6,57986880.0,1801440.0,Luminespib,Luminespib,IC30,IC30
59,LNCaP_mut_RNA_00_3_Pictilisib_0_0_7,55730640.0,1688640.0,Pictilisib,Pictilisib,IC50,IC50
60,LNCaP_mut_RNA_00_1_Ulixertinib_0_0_3,60055680.0,1859160.0,Ulixertinib,Ulixertinib,IC10,IC10
61,LNCaP_mut_RNA_00_5_Luminespib_0_0_8,60321840.0,1767120.0,Luminespib,Luminespib,IC90,IC90
62,LNCaP_mut_RNA_00_3_Pictilisib_0_0_6,54644640.0,1594200.0,Pictilisib,Pictilisib,IC50,IC50
63,LNCaP_mut_RNA_00_2_Luminespib_0_0_8,59972280.0,1702560.0,Luminespib,Luminespib,IC30,IC30
64,LNCaP_mut_RNA_00_2_Pictilisib_0_0_5,55690560.0,1691400.0,Pictilisib,Pictilisib,IC30,IC30
65,LNCaP_mut_RNA_00_5_Ulixertinib_0_0_4,61619760.0,1884000.0,Ulixertinib,Ulixertinib,IC90,IC90
66,LNCaP_mut_RNA_00_2_Luminespib_0_0_10,59803320.0,1791360.0,Luminespib,Luminespib,IC30,IC30
67,LNCaP_mut_RNA_00_3_Ulixertinib_0_0_4,60195000.0,1854840.0,Ulixertinib,Ulixertinib,IC50,IC50
68,LNCaP_mut_RNA_00_5_Selumetinib_0_0_1,61090920.0,1849200.0,Selumetinib,Selumetinib,IC90,IC90
69,LNCaP_mut_RNA_00_4_Ipatasertib_0_0_6,58138080.0,1701000.0,Ipatasertib,Ipatasertib,IC70,IC70
70,LNCaP_mut_RNA_00_2_Ipatasertib_0_0_5,61725120.0,1752840.0,Ipatasertib,Ipatasertib,IC30,IC30
71,LNCaP_mut_RNA_00_3_Selumetinib_0_0_3,59822760.0,1738560.0,Selumetinib,Selumetinib,IC50,IC50
72,LNCaP_mut_RNA_00_5_Pictilisib_0_0_9,53688960.0,1519080.0,Pictilisib,Pictilisib,IC90,IC90
73,LNCaP_mut_RNA_00_1_Ulixertinib_0_0_10,61554480.0,1827360.0,Ulixertinib,Ulixertinib,IC10,IC10
74,LNCaP_mut_RNA_00_4_Pictilisib_0_0_6,51684000.0,1545720.0,Pictilisib,Pictilisib,IC70,IC70
75,LNCaP_mut_RNA_00_5_Ulixertinib_0_0_6,60417960.0,1882800.0,Ulixertinib,Ulixertinib,IC90,IC90
76,LNCaP_mut_RNA_00_3_Pictilisib_0_0_4,53528520.0,1662720.0,Pictilisib,Pictilisib,IC50,IC50
77,LNCaP_mut_RNA_00_2_Afatinib_0_0_8,60115800.0,1866480.0,Afatinib,Afatinib,IC30,IC30
78,LNCaP_mut_RNA_00_3_Ipatasertib_0_0_6,59618760.0,1749600.0,Ipatasertib,Ipatasertib,IC50,IC50
79,LNCaP_mut_RNA_00_2_Ulixertinib_0_0_2,61678800.0,1863120.0,Ulixertinib,Ulixertinib,IC30,IC30
80,LNCaP_mut_RNA_00_1_Ipatasertib_0_0_3,59461560.0,1789680.0,Ipatasertib,Ipatasertib,IC10,IC10
81,LNCaP_mut_RNA_00_1_Pictilisib_0_0_2,57956640.0,1710360.0,Pictilisib,Pictilisib,IC10,IC10
82,LNCaP_mut_RNA_00_1_Afatinib_0_0_7,57524880.0,1743000.0,Afatinib,Afatinib,IC10,IC10
83,LNCaP_mut_RNA_00_2_Afatinib_0_0_2,57255120.0,1710840.0,Afatinib,Afatinib,IC30,IC30
84,LNCaP_mut_RNA_00_1_Luminespib_0_0_6,60885600.0,1793400.0,Luminespib,Luminespib,IC10,IC10
85,LNCaP_mut_RNA_00_2_Afatinib_0_0_10,58783320.0,1813920.0,Afatinib,Afatinib,IC30,IC30
86,LNCaP_mut_RNA_00_1_Afatinib_0_0_6,59942160.0,1725120.0,Afatinib,Afatinib,IC10,IC10
87,LNCaP_mut_RNA_00_4_Luminespib_0_0_7,61484880.0,1846080.0,Luminespib,Luminespib,IC70,IC70
88,LNCaP_mut_RNA_00_3_Selumetinib_0_0_9,61270680.0,1891320.0,Selumetinib,Selumetinib,IC50,IC50
89,LNCaP_mut_RNA_00_1_Pictilisib_0_0_1,54886320.0,1622160.0,Pictilisib,Pictilisib,IC10,IC10
90,LNCaP_mut_RNA_00_1_Ipatasertib_0_0_5,59550840.0,1774440.0,Ipatasertib,Ipatasertib,IC10,IC10
91,LNCaP_mut_RNA_00_2_Selumetinib_0_0_1,60435960.0,1785720.0,Selumetinib,Selumetinib,IC30,IC30
92,LNCaP_mut_RNA_00_3_Luminespib_0_0_8,61624320.0,1839840.0,Luminespib,Luminespib,IC50,IC50
93,LNCaP_mut_RNA_00_5_Selumetinib_0_0_3,58787280.0,1751880.0,Selumetinib,Selumetinib,IC90,IC90
94,LNCaP_mut_RNA_00_2_Ipatasertib_0_0_9,59676960.0,1713840.0,Ipatasertib,Ipatasertib,IC30,IC30
95,LNCaP_mut_RNA_00_3_Luminespib_0_0_4,61650960.0,1843680.0,Luminespib,Luminespib,IC50,IC50
96,LNCaP_mut_RNA_00_2_Ulixertinib_0_0_6,59778480.0,1768680.0,Ulixertinib,Ulixertinib,IC30,IC30
97,LNCaP_mut_RNA_00_4_Selumetinib_0_0_2,57199320.0,1787280.0,Selumetinib,Selumetinib,IC70,IC70
98,LNCaP_mut_RNA_00_2_Ulixertinib_0_0_1,64139880.0,1803720.0,Ulixertinib,Ulixertinib,IC30,IC30
99,LNCaP_mut_RNA_00_2_Luminespib_0_0_5,60218280.0,1768920.0,Luminespib,Luminespib,IC30,IC30
100,LNCaP_mut_RNA_00_2_Ipatasertib_0_0_6,59069280.0,1707120.0,Ipatasertib,Ipatasertib,IC30,IC30
101,LNCaP_mut_RNA_00_4_Afatinib_0_0_3,58792320.0,1768200.0,Afatinib,Afatinib,IC70,IC70
102,LNCaP_mut_RNA_00_5_Afatinib_0_0_4,60940320.0,1780560.0,Afatinib,Afatinib,IC90,IC90
103,LNCaP_mut_RNA_00_4_Ulixertinib_0_0_10,60227880.0,1785960.0,Ulixertinib,Ulixertinib,IC70,IC70
104,LNCaP_mut_RNA_00_3_Luminespib_0_0_6,58344120.0,1762560.0,Luminespib,Luminespib,IC50,IC50
105,LNCaP_mut_RNA_00_1_Luminespib_0_0_4,61400400.0,1773840.0,Luminespib,Luminespib,IC10,IC10
106,LNCaP_mut_RNA_00_1_Ulixertinib_0_0_6,58251120.0,1743960.0,Ulixertinib,Ulixertinib,IC10,IC10
107,LNCaP_mut_RNA_00_1_Ulixertinib_0_0_5,60664440.0,1834800.0,Ulixertinib,Ulixertinib,IC10,IC10
108,LNCaP_mut_RNA_00_2_Selumetinib_0_0_4,61620360.0,1842960.0,Selumetinib,Selumetinib,IC30,IC30
109,LNCaP_mut_RNA_00_5_Selumetinib_0_0_8,58969080.0,1713360.0,Selumetinib,Selumetinib,IC90,IC90
110,LNCaP_mut_RNA_00_4_Selumetinib_0_0_3,60672120.0,1781760.0,Selumetinib,Selumetinib,IC70,IC70
111,LNCaP_mut_RNA_00_2_Luminespib_0_0_7,61335840.0,1829160.0,Luminespib,Luminespib,IC30,IC30
112,LNCaP_mut_RNA_00_2_Ipatasertib_0_0_4,59143320.0,1658640.0,Ipatasertib,Ipatasertib,IC30,IC30
113,LNCaP_mut_RNA_00_1_Luminespib_0_0_7,59232000.0,1813440.0,Luminespib,Luminespib,IC10,IC10
114,LNCaP_mut_RNA_00_1_Pictilisib_0_0_9,57846720.0,1712640.0,Pictilisib,Pictilisib,IC10,IC10
115,LNCaP_mut_RNA_00_2_Selumetinib_0_0_6,61627800.0,1789320.0,Selumetinib,Selumetinib,IC30,IC30
116,LNCaP_mut_RNA_00_5_Afatinib_0_0_8,58930440.0,1781760.0,Afatinib,Afatinib,IC90,IC90
117,LNCaP_mut_RNA_00_4_Ulixertinib_0_0_3,61337400.0,1744320.0,Ulixertinib,Ulixertinib,IC70,IC70
118,LNCaP_mut_RNA_00_1_Afatinib_0_0_5,58938120.0,1795320.0,Afatinib,Afatinib,IC10,IC10
119,LNCaP_mut_RNA_00_5_Ulixertinib_0_0_5,62305560.0,1837680.0,Ulixertinib,Ulixertinib,IC90,IC90
120,LNCaP_mut_RNA_00_4_Afatinib_0_0_5,57357840.0,1800360.0,Afatinib,Afatinib,IC70,IC70
121,LNCaP_mut_RNA_00_2_Ulixertinib_0_0_5,61394760.0,1781640.0,Ulixertinib,Ulixertinib,IC30,IC30
122,LNCaP_mut_RNA_00_4_Ipatasertib_0_0_9,58857720.0,1599120.0,Ipatasertib,Ipatasertib,IC70,IC70
123,LNCaP_mut_RNA_00_3_Selumetinib_0_0_4,62856480.0,1914240.0,Selumetinib,Selumetinib,IC50,IC50
124,LNCaP_mut_RNA_00_1_Afatinib_0_0_4,61094040.0,1799760.0,Afatinib,Afatinib,IC10,IC10
125,LNCaP_mut_RNA_00_5_Luminespib_0_0_1,57967680.0,1769880.0,Luminespib,Luminespib,IC90,IC90
126,LNCaP_mut_RNA_00_2_Pictilisib_0_0_4,54329760.0,1600680.0,Pictilisib,Pictilisib,IC30,IC30
127,LNCaP_mut_RNA_00_5_Selumetinib_0_0_7,61901160.0,1846680.0,Selumetinib,Selumetinib,IC90,IC90
128,LNCaP_mut_RNA_00_4_Ulixertinib_0_0_2,60213480.0,1800720.0,Ulixertinib,Ulixertinib,IC70,IC70
129,LNCaP_mut_RNA_00_5_Ipatasertib_0_0_9,55742040.0,1644000.0,Ipatasertib,Ipatasertib,IC90,IC90
130,LNCaP_mut_RNA_00_5_Pictilisib_0_0_7,55400160.0,1672560.0,Pictilisib,Pictilisib,IC90,IC90
131,LNCaP_mut_RNA_00_3_Ipatasertib_0_0_1,61236840.0,1743840.0,Ipatasertib,Ipatasertib,IC50,IC50
132,LNCaP_mut_RNA_00_4_Luminespib_0_0_1,62780640.0,1844280.0,Luminespib,Luminespib,IC70,IC70
133,LNCaP_mut_RNA_00_3_Afatinib_0_0_10,58816200.0,1728840.0,Afatinib,Afatinib,IC50,IC50
134,LNCaP_mut_RNA_00_1_Luminespib_0_0_5,56729280.0,1744800.0,Luminespib,Luminespib,IC10,IC10
135,LNCaP_mut_RNA_00_4_Pictilisib_0_0_2,54765120.0,1575360.0,Pictilisib,Pictilisib,IC70,IC70
136,LNCaP_mut_RNA_00_1_Luminespib_0_0_8,60556920.0,1875720.0,Luminespib,Luminespib,IC10,IC10
137,LNCaP_mut_RNA_00_3_Ipatasertib_0_0_7,60031800.0,1704960.0,Ipatasertib,Ipatasertib,IC50,IC50
138,LNCaP_mut_RNA_00_3_Luminespib_0_0_2,60864960.0,1830120.0,Luminespib,Luminespib,IC50,IC50
139,LNCaP_mut_RNA_00_4_Pictilisib_0_0_10,52737240.0,1543560.0,Pictilisib,Pictilisib,IC70,IC70
140,LNCaP_mut_RNA_00_2_Selumetinib_0_0_8,59050320.0,1801320.0,Selumetinib,Selumetinib,IC30,IC30
141,LNCaP_mut_RNA_00_3_Selumetinib_0_0_2,57876120.0,1808640.0,Selumetinib,Selumetinib,IC50,IC50
142,LNCaP_mut_RNA_00_3_Ulixertinib_0_0_1,59169120.0,1846200.0,Ulixertinib,Ulixertinib,IC50,IC50
143,LNCaP_mut_RNA_00_2_Afatinib_0_0_9,54640560.0,1744440.0,Afatinib,Afatinib,IC30,IC30
144,LNCaP_mut_RNA_00_1_Ipatasertib_0_0_8,59485920.0,1749840.0,Ipatasertib,Ipatasertib,IC10,IC10
145,LNCaP_mut_RNA_00_4_Ulixertinib_0_0_7,58875240.0,1702200.0,Ulixertinib,Ulixertinib,IC70,IC70
146,LNCaP_mut_RNA_00_1_Afatinib_0_0_3,59052480.0,1785960.0,Afatinib,Afatinib,IC10,IC10
147,LNCaP_mut_RNA_00_5_Selumetinib_0_0_6,59907840.0,1772160.0,Selumetinib,Selumetinib,IC90,IC90
148,LNCaP_mut_RNA_00_5_Ipatasertib_0_0_7,55001160.0,1592040.0,Ipatasertib,Ipatasertib,IC90,IC90
149,LNCaP_mut_RNA_00_2_Pictilisib_0_0_7,53022840.0,1591080.0,Pictilisib,Pictilisib,IC30,IC30
150,LNCaP_mut_RNA_00_5_Selumetinib_0_0_10,56046720.0,1761240.0,Selumetinib,Selumetinib,IC90,IC90
151,LNCaP_mut_RNA_00_4_Luminespib_0_0_2,60541200.0,1846080.0,Luminespib,Luminespib,IC70,IC70
152,LNCaP_mut_RNA_00_2_Ipatasertib_0_0_3,61833960.0,1804440.0,Ipatasertib,Ipatasertib,IC30,IC30
153,LNCaP_mut_RNA_00_1_Ipatasertib_0_0_6,60911640.0,1820640.0,Ipatasertib,Ipatasertib,IC10,IC10
154,LNCaP_mut_RNA_00_3_Selumetinib_0_0_5,59109600.0,1771320.0,Selumetinib,Selumetinib,IC50,IC50
155,LNCaP_mut_RNA_00_3_Afatinib_0_0_9,60381600.0,1796520.0,Afatinib,Afatinib,IC50,IC50
156,LNCaP_mut_RNA_00_2_Pictilisib_0_0_2,53699760.0,1578960.0,Pictilisib,Pictilisib,IC30,IC30
157,LNCaP_mut_RNA_00_4_Ulixertinib_0_0_6,62252640.0,1792920.0,Ulixertinib,Ulixertinib,IC70,IC70
158,LNCaP_mut_RNA_00_3_Pictilisib_0_0_9,53969880.0,1583040.0,Pictilisib,Pictilisib,IC50,IC50
159,LNCaP_mut_RNA_00_2_Afatinib_0_0_5,58757040.0,1751760.0,Afatinib,Afatinib,IC30,IC30
160,LNCaP_mut_RNA_00_4_Pictilisib_0_0_8,54740640.0,1645560.0,Pictilisib,Pictilisib,IC70,IC70
161,LNCaP_mut_RNA_00_5_Afatinib_0_0_9,60195600.0,1715160.0,Afatinib,Afatinib,IC90,IC90
162,LNCaP_mut_RNA_00_3_Afatinib_0_0_5,58343640.0,1725960.0,Afatinib,Afatinib,IC50,IC50
163,LNCaP_mut_RNA_00_1_Ulixertinib_0_0_2,59738760.0,1844280.0,Ulixertinib,Ulixertinib,IC10,IC10
164,LNCaP_mut_RNA_00_5_Pictilisib_0_0_8,54511320.0,1619760.0,Pictilisib,Pictilisib,IC90,IC90
165,LNCaP_mut_RNA_00_5_Ipatasertib_0_0_1,53285880.0,1644960.0,Ipatasertib,Ipatasertib,IC90,IC90
166,LNCaP_mut_RNA_00_2_Luminespib_0_0_3,62112000.0,1798920.0,Luminespib,Luminespib,IC30,IC30
167,LNCaP_mut_RNA_00_5_Ulixertinib_0_0_3,59739840.0,1792680.0,Ulixertinib,Ulixertinib,IC90,IC90
168,LNCaP_mut_RNA_00_2_Selumetinib_0_0_10,59153160.0,1768800.0,Selumetinib,Selumetinib,IC30,IC30
169,LNCaP_mut_RNA_00_1_Ipatasertib_0_0_10,60709440.0,1698600.0,Ipatasertib,Ipatasertib,IC10,IC10
170,LNCaP_mut_RNA_00_2_Selumetinib_0_0_2,61253400.0,1785840.0,Selumetinib,Selumetinib,IC30,IC30
171,LNCaP_mut_RNA_00_3_Luminespib_0_0_3,58042200.0,1803480.0,Luminespib,Luminespib,IC50,IC50
172,LNCaP_mut_RNA_00_1_Selumetinib_0_0_4,60720480.0,1816560.0,Selumetinib,Selumetinib,IC10,IC10
173,LNCaP_mut_RNA_00_3_Afatinib_0_0_2,59010000.0,1776360.0,Afatinib,Afatinib,IC50,IC50
174,LNCaP_mut_RNA_00_1_Selumetinib_0_0_5,60621600.0,1808760.0,Selumetinib,Selumetinib,IC10,IC10
175,LNCaP_mut_RNA_00_5_Ulixertinib_0_0_1,60045960.0,1770480.0,Ulixertinib,Ulixertinib,IC90,IC90
176,LNCaP_mut_RNA_00_4_Selumetinib_0_0_6,60881400.0,1873200.0,Selumetinib,Selumetinib,IC70,IC70
177,LNCaP_mut_RNA_00_1_Selumetinib_0_0_6,58886880.0,1649520.0,Selumetinib,Selumetinib,IC10,IC10
178,LNCaP_mut_RNA_00_4_Afatinib_0_0_6,58259160.0,1716480.0,Afatinib,Afatinib,IC70,IC70
179,LNCaP_mut_RNA_00_3_Selumetinib_0_0_10,60092040.0,1771440.0,Selumetinib,Selumetinib,IC50,IC50
180,LNCaP_mut_RNA_00_2_Ulixertinib_0_0_10,56719320.0,1785960.0,Ulixertinib,Ulixertinib,IC30,IC30
181,LNCaP_mut_RNA_00_3_Luminespib_0_0_10,60216960.0,1768440.0,Luminespib,Luminespib,IC50,IC50
182,LNCaP_mut_RNA_00_2_Ulixertinib_0_0_9,59149080.0,1700880.0,Ulixertinib,Ulixertinib,IC30,IC30
183,LNCaP_mut_RNA_00_3_Selumetinib_0_0_1,58079640.0,1767600.0,Selumetinib,Selumetinib,IC50,IC50
184,LNCaP_mut_RNA_00_5_Ulixertinib_0_0_10,59430960.0,1766280.0,Ulixertinib,Ulixertinib,IC90,IC90
185,LNCaP_mut_RNA_00_4_Selumetinib_0_0_1,60539040.0,1811280.0,Selumetinib,Selumetinib,IC70,IC70
186,LNCaP_mut_RNA_00_4_Afatinib_0_0_10,60151080.0,1795440.0,Afatinib,Afatinib,IC70,IC70
187,LNCaP_mut_RNA_00_3_Ipatasertib_0_0_10,58593000.0,1650840.0,Ipatasertib,Ipatasertib,IC50,IC50
188,LNCaP_mut_RNA_00_1_Ulixertinib_0_0_8,58654800.0,1793280.0,Ulixertinib,Ulixertinib,IC10,IC10
189,LNCaP_mut_RNA_00_1_Selumetinib_0_0_10,58635840.0,1689360.0,Selumetinib,Selumetinib,IC10,IC10
190,LNCaP_mut_RNA_00_1_Ipatasertib_0_0_2,58424520.0,1753080.0,Ipatasertib,Ipatasertib,IC10,IC10
191,LNCaP_mut_RNA_00_1_Afatinib_0_0_8,60987120.0,1806240.0,Afatinib,Afatinib,IC10,IC10
192,LNCaP_mut_RNA_00_2_Selumetinib_0_0_5,61786200.0,1804680.0,Selumetinib,Selumetinib,IC30,IC30
193,LNCaP_mut_RNA_00_3_Ipatasertib_0_0_2,61170240.0,1735680.0,Ipatasertib,Ipatasertib,IC50,IC50
194,LNCaP_mut_RNA_00_2_Ipatasertib_0_0_10,59139720.0,1662120.0,Ipatasertib,Ipatasertib,IC30,IC30
195,LNCaP_mut_RNA_00_4_Selumetinib_0_0_5,59684040.0,1785720.0,Selumetinib,Selumetinib,IC70,IC70
196,LNCaP_mut_RNA_00_2_Ipatasertib_0_0_7,59351880.0,1733280.0,Ipatasertib,Ipatasertib,IC30,IC30
197,LNCaP_mut_RNA_00_5_Pictilisib_0_0_4,52504440.0,1618560.0,Pictilisib,Pictilisib,IC90,IC90
198,LNCaP_mut_RNA_00_5_Pictilisib_0_0_2,54198600.0,1630680.0,Pictilisib,Pictilisib,IC90,IC90
199,LNCaP_mut_RNA_00_2_Luminespib_0_0_9,58031760.0,1789080.0,Luminespib,Luminespib,IC30,IC30
200,LNCaP_mut_RNA_00_1_Ipatasertib_0_0_1,58604400.0,1695000.0,Ipatasertib,Ipatasertib,IC10,IC10
201,LNCaP_mut_RNA_00_2_Afatinib_0_0_6,59764080.0,1776720.0,Afatinib,Afatinib,IC30,IC30
202,LNCaP_mut_RNA_00_1_Afatinib_0_0_10,58579920.0,1726800.0,Afatinib,Afatinib,IC10,IC10
203,LNCaP_mut_RNA_00_1_Ulixertinib_0_0_4,60383760.0,1873800.0,Ulixertinib,Ulixertinib,IC10,IC10
204,LNCaP_mut_RNA_00_2_Pictilisib_0_0_6,57352560.0,1675920.0,Pictilisib,Pictilisib,IC30,IC30
205,LNCaP_mut_RNA_00_3_Ipatasertib_0_0_9,60759720.0,1750200.0,Ipatasertib,Ipatasertib,IC50,IC50
206,LNCaP_mut_RNA_00_4_Ulixertinib_0_0_4,62700360.0,1854120.0,Ulixertinib,Ulixertinib,IC70,IC70
207,LNCaP_mut_RNA_00_2_Ulixertinib_0_0_8,59585040.0,1840200.0,Ulixertinib,Ulixertinib,IC30,IC30
208,LNCaP_mut_RNA_00_4_Afatinib_0_0_9,59064840.0,1746480.0,Afatinib,Afatinib,IC70,IC70
209,LNCaP_mut_RNA_00_5_Ipatasertib_0_0_6,54720840.0,1603200.0,Ipatasertib,Ipatasertib,IC90,IC90
